,budget_weight,spend,simulated_touchpoints,conversion_rate,simulated_conversions,simulated_revenue,roi
Direct Traffic,0.16666666666666666,16666.666666666664,1666.6666666666665,0.4956420685647879,826.0701142746464,82607.01142746463,3.9564206856478785
Display Ads,0.16666666666666666,16666.666666666664,1666.6666666666665,0.4961054523666866,826.8424206111442,82684.24206111442,3.961054523666866
Email,0.16666666666666666,16666.666666666664,1666.6666666666665,0.501813784764208,836.3563079403466,83635.63079403466,4.01813784764208
Referral,0.16666666666666666,16666.666666666664,1666.6666666666665,0.4991097922848664,831.8496538081106,83184.96538081106,3.991097922848664
Search Ads,0.16666666666666666,16666.666666666664,1666.6666666666665,0.4798011187072716,799.6685311787859,79966.85311787859,3.7980111870727162
Social Media,0.16666666666666666,16666.666666666664,1666.6666666666665,0.49338146811071,822.3024468511833,82230.24468511833,3.9338146811071004
