,budget_weight,spend,simulated_touchpoints,conversion_rate,simulated_conversions,simulated_revenue,roi
Direct Traffic,0.17149999999999999,17150.0,1715.0,0.4956420685647879,850.0261475886113,85002.61475886112,3.9564206856478785
Display Ads,0.171,17100.0,1710.0,0.4961054523666866,848.340323547034,84834.0323547034,3.961054523666866
Email,0.1628,16280.0,1628.0,0.501813784764208,816.9528415961306,81695.28415961306,4.0181378476420795
Referral,0.1675,16750.0,1675.0,0.4991097922848664,836.0089020771512,83600.89020771513,3.991097922848664
Search Ads,0.1602,16020.0,1602.0,0.4798011187072716,768.6413921690491,76864.1392169049,3.7980111870727153
Social Media,0.16699999999999998,16699.999999999996,1669.9999999999995,0.49338146811071,823.9470517448855,82394.70517448855,3.9338146811071004
