scenario,revenue_factor,revenue_per_conversion,conversions,revenue,delta_rev_pct_vs_S0
S0_equal,0.8,80.0,4943.089474664217,395447.15797313733,0.0
S1_conversion_rate,0.8,80.0,4944.086532106169,395526.9225684935,0.020170734255620104
S2_linear_attribution,0.8,80.0,4943.916658722862,395513.33269782894,0.0167341510382224
S0_equal,1.0,100.0,4943.089474664217,494308.9474664217,0.0
S1_conversion_rate,1.0,100.0,4944.086532106169,494408.65321061685,0.0201707342555979
S2_linear_attribution,1.0,100.0,4943.916658722862,494391.66587228613,0.0167341510382224
S0_equal,1.2,120.0,4943.089474664217,593170.7369597061,0.0
S1_conversion_rate,1.2,120.0,4944.086532106169,593290.3838527403,0.020170734255620104
S2_linear_attribution,1.2,120.0,4943.916658722862,593269.9990467435,0.0167341510382224
